Lon,Lat,PancartaProm,Desempenio
-0.25247,-79.144,3,2
-0.25247,-79.144,3,2
-0.26447,-79.405,3,2
-0.46058,-80.454,3,2
-0.48447,-80.332,3,2
-0.52016,-80.438,3,2
-0.60225,-80.427,3,2
-0.60268,-80.427,3,2
-0.65226,-80.407,3,2
-0.66836,-80.355,3,2
-0.66996,-80.348,3,2
-0.73202,-80.258,3,2
-0.78134,-80.514,3,2
-0.8939,-80.267,2,1
-0.9566,-80.711,2,1
-1.0554,-80.461,1,1
-1.0558,-80.461,1,1
-1.0575,-80.45,2,1
-1.1594,-80.616,2,1
-1.2073,-80.371,2,1
-1.2073,-80.371,2,1
-1.3451,-80.575,2,1
-1.5147,-80.687,1,1
-1.5438,-80.599,3,2
